전체 카테고리 성장률 순위:
====================================
Rank 1: {'대카테고리': '스포츠/레저', '중카테고리': '수영/수상스포츠', '소카테고리': '스노클링/다이빙', '세부카테고리': '다이빙 소품', 'total': 65, 'recent_sum': 51, 'older_sum': 14, 'growth_rate': 3.642857142857143, 'final_score': 301.7857142857143, 'rank': 1}
Rank 23: {'대카테고리': '반려동물용품', '중카테고리': '강아지 간식', '소카테고리': '', '세부카테고리': None, 'total': 148, 'recent_sum': 79, 'older_sum': 69, 'growth_rate': 1.144927536231884, 'final_score': 317.4492753623188, 'rank': 23}
Rank 24: {'대카테고리': '여성패션', '중카테고리': '의류', '소카테고리': '블라우스/셔츠', '세부카테고리': '블라우스', 'total': 729, 'recent_sum': 388, 'older_sum': 341, 'growth_rate': 1.1378299120234605, 'final_score': 1558.4780058651027, 'rank': 24}
Rank 25: {'대카테고리': '홈인테리어', '중카테고리': '침구', '소카테고리': '롱쿠션/바디필로우', '세부카테고리': '롱쿠션 커버', 'total': 235, 'recent_sum': 125, 'older_sum': 110, 'growth_rate': 1.1363636363636365, 'final_score': 502.0454545454546, 'rank': 25}
Rank 26: {'대카테고리': '식품', '중카테고리': '면/통조림/가공식품', '소카테고리': '참치/햄/통조림', '세부카테고리': '스팸/햄통조림', 'total': 59, 'recent_sum': 31, 'older_sum': 28, 'growth_rate': 1.1071428571428572, 'final_score': 124.32142857142857, 'rank': 26}
Rank 27: {'대카테고리': '식품', '중카테고리': '쌀/잡곡', '소카테고리': '조/수수/깨', '세부카테고리': '조', 'total': 40, 'recent_sum': 21, 'older_sum': 19, 'growth_rate': 1.105263157894737, 'final_score': 84.21052631578948, 'rank': 27}
Rank 28: {'대카테고리': '스포츠/레저', '중카테고리': '수영/수상스포츠', '소카테고리': '비치웨어/래쉬가드', '세부카테고리': '남아 비치웨어', 'total': 475, 'recent_sum': 249, 'older_sum': 226, 'growth_rate': 1.1017699115044248, 'final_score': 998.3407079646018, 'rank': 28}
Rank 29: {'대카테고리': '생활용품', '중카테고리': '욕실용품', '소카테고리': '', '세부카테고리': None, 'total': 84, 'recent_sum': 44, 'older_sum': 40, 'growth_rate': 1.1, 'final_score': 176.4, 'rank': 29}
Rank 30: {'대카테고리': '홈인테리어', '중카테고리': '홈데코', '소카테고리': '거울', '세부카테고리': '욕실용거울', 'total': 84, 'recent_sum': 44, 'older_sum': 40, 'growth_rate': 1.1, 'final_score': 176.4, 'rank': 30}
Rank 31: {'대카테고리': '홈인테리어', '중카테고리': '욕실용품', '소카테고리': '', '세부카테고리': None, 'total': 84, 'recent_sum': 44, 'older_sum': 40, 'growth_rate': 1.1, 'final_score': 176.4, 'rank': 31}
Rank 32: {'대카테고리': '주방용품', '중카테고리': '냄비/프라이팬', '소카테고리': '냄비/프라이팬세트', '세부카테고리': '냄비프라이팬세트', 'total': 65, 'recent_sum': 34, 'older_sum': 31, 'growth_rate': 1.096774193548387, 'final_score': 136.29032258064515, 'rank': 32}
Rank 33: {'대카테고리': '스포츠/레저', '중카테고리': '수영/수상스포츠', '소카테고리': '비치웨어/래쉬가드', '세부카테고리': '여아 비치웨어', 'total': 566, 'recent_sum': 296, 'older_sum': 270, 'growth_rate': 1.0962962962962963, 'final_score': 1186.5037037037039, 'rank': 33}
Rank 34: {'대카테고리': '헬스/건강식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '커피/원두/차', '세부카테고리': '홍차/기타차', 'total': 330, 'recent_sum': 172, 'older_sum': 158, 'growth_rate': 1.0886075949367089, 'final_score': 689.2405063291139, 'rank': 34}
Rank 35: {'대카테고리': '스포츠/레저', '중카테고리': '캠핑전문관', '소카테고리': '타프/그늘막', '세부카테고리': '그늘막 텐트', 'total': 37, 'recent_sum': 19, 'older_sum': 18, 'growth_rate': 1.0555555555555556, 'final_score': 76.05555555555554, 'rank': 35}
Rank 36: {'대카테고리': '스포츠/레저', '중카테고리': '캠핑전문관', '소카테고리': '텐트', '세부카테고리': '그늘막 텐트', 'total': 37, 'recent_sum': 19, 'older_sum': 18, 'growth_rate': 1.0555555555555556, 'final_score': 76.05555555555554, 'rank': 36}
Rank 37: {'대카테고리': '스포츠/레저', '중카테고리': '낚시', '소카테고리': '좌대/야외용품', '세부카테고리': '그늘막텐트', 'total': 37, 'recent_sum': 19, 'older_sum': 18, 'growth_rate': 1.0555555555555556, 'final_score': 76.05555555555554, 'rank': 37}
Rank 38: {'대카테고리': '식품', '중카테고리': '커피/원두/차', '소카테고리': '유자/과일차', '세부카테고리': '유자/모과/대추차', 'total': 39, 'recent_sum': 20, 'older_sum': 19, 'growth_rate': 1.0526315789473684, 'final_score': 80.05263157894736, 'rank': 38}
Rank 39: {'대카테고리': '뷰티', '중카테고리': '뷰티소품', '소카테고리': '헤어소품', '세부카테고리': '기타헤어소품', 'total': 171, 'recent_sum': 87, 'older_sum': 84, 'growth_rate': 1.0357142857142858, 'final_score': 348.10714285714283, 'rank': 39}
Rank 40: {'대카테고리': '남성패션', '중카테고리': '가방/잡화', '소카테고리': '우산/우비', '세부카테고리': '우산', 'total': 227, 'recent_sum': 115, 'older_sum': 112, 'growth_rate': 1.0267857142857142, 'final_score': 460.08035714285717, 'rank': 40}
Rank 41: {'대카테고리': '생활용품', '중카테고리': '공구/철물/DIY', '소카테고리': '전동/정밀공구', '세부카테고리': '드릴/드릴세트', 'total': 98, 'recent_sum': 49, 'older_sum': 49, 'growth_rate': 1.0, 'final_score': 196.0, 'rank': 41}
Rank 42: {'대카테고리': '여성패션', '중카테고리': '가방/잡화', '소카테고리': '우산/양산/우비', '세부카테고리': '우산', 'total': 247, 'recent_sum': 123, 'older_sum': 124, 'growth_rate': 0.9919354838709677, 'final_score': 492.008064516129, 'rank': 42}
Rank 43: {'대카테고리': '주방용품', '중카테고리': '주방조리도구', '소카테고리': '채반/소쿠리', '세부카테고리': '밧드', 'total': 177, 'recent_sum': 88, 'older_sum': 89, 'growth_rate': 0.9887640449438202, 'final_score': 352.0112359550562, 'rank': 43}
Rank 44: {'대카테고리': '홈인테리어', '중카테고리': '홈데코', '소카테고리': '캔들/캔들홀더', '세부카테고리': '캔들', 'total': 387, 'recent_sum': 192, 'older_sum': 195, 'growth_rate': 0.9846153846153847, 'final_score': 768.0461538461539, 'rank': 44}
Rank 45: {'대카테고리': '출산/유아동', '중카테고리': '이유용품/유아식기', '소카테고리': '유아식기/캐릭터식기', '세부카테고리': '캐릭터식기', 'total': 180, 'recent_sum': 89, 'older_sum': 91, 'growth_rate': 0.978021978021978, 'final_score': 356.0439560439561, 'rank': 45}
Rank 46: {'대카테고리': '헬스/건강식품', '중카테고리': '샐러드/닭가슴살', '소카테고리': '샐러드과일/토핑', '세부카테고리': '과일', 'total': 89, 'recent_sum': 44, 'older_sum': 45, 'growth_rate': 0.9777777777777777, 'final_score': 176.02222222222224, 'rank': 46}
Rank 47: {'대카테고리': '여성패션', '중카테고리': '가방/잡화', '소카테고리': '장갑/시즌잡화', '세부카테고리': '기타잡화', 'total': 417, 'recent_sum': 206, 'older_sum': 211, 'growth_rate': 0.976303317535545, 'final_score': 824.1184834123223, 'rank': 47}
Rank 48: {'대카테고리': '스포츠/레저', '중카테고리': '구기스포츠', '소카테고리': '축구', '세부카테고리': '축구공', 'total': 59, 'recent_sum': 29, 'older_sum': 30, 'growth_rate': 0.9666666666666667, 'final_score': 116.03333333333335, 'rank': 48}
Rank 49: {'대카테고리': '홈인테리어', '중카테고리': '수납/정리', '소카테고리': '기타정리용품', '세부카테고리': '데스크오거나이저', 'total': 180, 'recent_sum': 88, 'older_sum': 92, 'growth_rate': 0.9565217391304348, 'final_score': 352.17391304347825, 'rank': 49}
Rank 50: {'대카테고리': '주방용품', '중카테고리': '주방조리도구', '소카테고리': '조리도구', '세부카테고리': '볶음스푼', 'total': 138, 'recent_sum': 67, 'older_sum': 71, 'growth_rate': 0.9436619718309859, 'final_score': 268.2253521126761, 'rank': 50}
Rank 51: {'대카테고리': '스포츠/레저', '중카테고리': '낚시', '소카테고리': '민물낚시', '세부카테고리': '미끼/떡밥/루어', 'total': 343, 'recent_sum': 166, 'older_sum': 177, 'growth_rate': 0.9378531073446328, 'final_score': 664.6836158192091, 'rank': 51}
Rank 52: {'대카테고리': '문구/오피스', '중카테고리': '사무용품 전문관', '소카테고리': '데스크정리소품', '세부카테고리': '데스크오거나이저', 'total': 184, 'recent_sum': 89, 'older_sum': 95, 'growth_rate': 0.9368421052631579, 'final_score': 356.37894736842105, 'rank': 52}
Rank 53: {'대카테고리': '홈인테리어', '중카테고리': '셀프인테리어', '소카테고리': '시트지/스티커', '세부카테고리': '일반시트지', 'total': 957, 'recent_sum': 457, 'older_sum': 500, 'growth_rate': 0.914, 'final_score': 1831.698, 'rank': 53}
Rank 54: {'대카테고리': '홈인테리어', '중카테고리': '홈데코', '소카테고리': '시트지/스티커', '세부카테고리': '일반시트지', 'total': 956, 'recent_sum': 456, 'older_sum': 500, 'growth_rate': 0.912, 'final_score': 1827.8719999999998, 'rank': 54}
Rank 55: {'대카테고리': '문구/오피스', '중카테고리': '사무용품 전문관', '소카테고리': '디지털/사무기기', '세부카테고리': '제본기/소모품', 'total': 65, 'recent_sum': 31, 'older_sum': 34, 'growth_rate': 0.9117647058823529, 'final_score': 124.26470588235293, 'rank': 55}
Rank 56: {'대카테고리': '문구/오피스', '중카테고리': '학용품/수업준비', '소카테고리': '교사용 준비물', '세부카테고리': '제본기', 'total': 65, 'recent_sum': 31, 'older_sum': 34, 'growth_rate': 0.9117647058823529, 'final_score': 124.26470588235293, 'rank': 56}
Rank 57: {'대카테고리': '문구/오피스', '중카테고리': '사무용품 전문관', '소카테고리': '데스크정리소품', '세부카테고리': '펜홀더/연필꽂이', 'total': 170, 'recent_sum': 81, 'older_sum': 89, 'growth_rate': 0.9101123595505618, 'final_score': 324.7191011235955, 'rank': 57}
Rank 58: {'대카테고리': '식품', '중카테고리': '건강식품', '소카테고리': '건강차 원물', '세부카테고리': '계피', 'total': 32, 'recent_sum': 15, 'older_sum': 17, 'growth_rate': 0.8823529411764706, 'final_score': 60.23529411764706, 'rank': 58}
Rank 59: {'대카테고리': '홈인테리어', '중카테고리': '가구', '소카테고리': '학생/사무용가구', '세부카테고리': '데스크소품', 'total': 621, 'recent_sum': 288, 'older_sum': 333, 'growth_rate': 0.8648648648648649, 'final_score': 1158.081081081081, 'rank': 59}
Rank 60: {'대카테고리': '식품', '중카테고리': '건강식품', '소카테고리': '꿀/프로폴리스', '세부카테고리': '일반꿀', 'total': 134, 'recent_sum': 62, 'older_sum': 72, 'growth_rate': 0.8611111111111112, 'final_score': 249.38888888888889, 'rank': 60}
Rank 61: {'대카테고리': '생활용품', '중카테고리': '생활전기용품', '소카테고리': '조명기구/부속', '세부카테고리': 'LED모듈/조명모듈', 'total': 172, 'recent_sum': 79, 'older_sum': 93, 'growth_rate': 0.8494623655913979, 'final_score': 318.10752688172045, 'rank': 61}
Rank 62: {'대카테고리': '식품', '중카테고리': '면/통조림/가공식품', '소카테고리': '참치/햄/통조림', '세부카테고리': '잼/스프레드', 'total': 306, 'recent_sum': 140, 'older_sum': 166, 'growth_rate': 0.8433734939759037, 'final_score': 564.0722891566265, 'rank': 62}
Rank 63: {'대카테고리': '생활용품', '중카테고리': '탈취/방향/살충', '소카테고리': '탈취제', '세부카테고리': '실내용탈취제', 'total': 123, 'recent_sum': 56, 'older_sum': 67, 'growth_rate': 0.835820895522388, 'final_score': 225.80597014925374, 'rank': 63}
Rank 64: {'대카테고리': '문구/오피스', '중카테고리': '사무용품 전문관', '소카테고리': '봉투/포장용품', '세부카테고리': '테이프', 'total': 259, 'recent_sum': 117, 'older_sum': 142, 'growth_rate': 0.823943661971831, 'final_score': 472.40140845070425, 'rank': 64}
Rank 65: {'대카테고리': '식품', '중카테고리': '반찬/간편식/대용식', '소카테고리': '햄버거/베이커리/떡', '세부카테고리': '잼/시럽/꿀', 'total': 457, 'recent_sum': 206, 'older_sum': 251, 'growth_rate': 0.8207171314741036, 'final_score': 832.0677290836654, 'rank': 65}
Rank 66: {'대카테고리': '홈인테리어', '중카테고리': '가구', '소카테고리': '거실가구', '세부카테고리': '신발장', 'total': 71, 'recent_sum': 32, 'older_sum': 39, 'growth_rate': 0.8205128205128205, 'final_score': 129.25641025641025, 'rank': 66}
Rank 67: {'대카테고리': '홈인테리어', '중카테고리': '수납/정리', '소카테고리': '옷걸이/도어훅', '세부카테고리': '후크/기타걸이', 'total': 203, 'recent_sum': 90, 'older_sum': 113, 'growth_rate': 0.7964601769911505, 'final_score': 364.6814159292035, 'rank': 67}
Rank 68: {'대카테고리': '가전디지털', '중카테고리': '휴대폰 액세서리', '소카테고리': '케이블/충전기', '세부카테고리': '변환 젠더', 'total': 61, 'recent_sum': 27, 'older_sum': 34, 'growth_rate': 0.7941176470588235, 'final_score': 109.44117647058823, 'rank': 68}
Rank 69: {'대카테고리': '식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '유제품/치즈/버터', '세부카테고리': '버터/마가린', 'total': 111, 'recent_sum': 49, 'older_sum': 62, 'growth_rate': 0.7903225806451613, 'final_score': 198.7258064516129, 'rank': 69}
Rank 70: {'대카테고리': '반려동물용품', '중카테고리': '소동물/가축용품', '소카테고리': '토끼/기니피그', '세부카테고리': '하우스/이동장', 'total': 1380, 'recent_sum': 609, 'older_sum': 771, 'growth_rate': 0.7898832684824902, 'final_score': 2470.038910505836, 'rank': 70}
Rank 71: {'대카테고리': '식품', '중카테고리': '건강식품', '소카테고리': '영양제', '세부카테고리': '히알루론산/콜라겐', 'total': 68, 'recent_sum': 30, 'older_sum': 38, 'growth_rate': 0.7894736842105263, 'final_score': 121.6842105263158, 'rank': 71}
Rank 72: {'대카테고리': '식품', '중카테고리': '건강식품', '소카테고리': '다이어트/이너뷰티', '세부카테고리': '히알루론산/콜라겐', 'total': 68, 'recent_sum': 30, 'older_sum': 38, 'growth_rate': 0.7894736842105263, 'final_score': 121.6842105263158, 'rank': 72}
Rank 73: {'대카테고리': '생활용품', '중카테고리': '수납/정리', '소카테고리': '옷걸이', '세부카테고리': '후크/기타걸이', 'total': 202, 'recent_sum': 89, 'older_sum': 113, 'growth_rate': 0.7876106194690266, 'final_score': 361.0973451327434, 'rank': 73}
Rank 74: {'대카테고리': '여성패션', '중카테고리': '의류', '소카테고리': '스포츠의류', '세부카테고리': '비치웨어', 'total': 25, 'recent_sum': 11, 'older_sum': 14, 'growth_rate': 0.7857142857142857, 'final_score': 44.64285714285714, 'rank': 74}
Rank 75: {'대카테고리': '스포츠/레저', '중카테고리': '여성스포츠의류', '소카테고리': '수영복/래쉬가드', '세부카테고리': '반전신수영복', 'total': 257, 'recent_sum': 113, 'older_sum': 144, 'growth_rate': 0.7847222222222222, 'final_score': 458.67361111111114, 'rank': 75}
Rank 76: {'대카테고리': '스포츠/레저', '중카테고리': '구기스포츠', '소카테고리': '농구', '세부카테고리': '농구공', 'total': 48, 'recent_sum': 21, 'older_sum': 27, 'growth_rate': 0.7777777777777778, 'final_score': 85.33333333333333, 'rank': 76}
Rank 77: {'대카테고리': '헬스/건강식품', '중카테고리': '건강즙/음료', '소카테고리': 'ABC/석류/사과/포도', '세부카테고리': '포도즙', 'total': 16, 'recent_sum': 7, 'older_sum': 9, 'growth_rate': 0.7777777777777778, 'final_score': 28.444444444444443, 'rank': 77}
Rank 78: {'대카테고리': '헬스/건강식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '커피/원두/차', '세부카테고리': '도라지/작두콩차', 'total': 76, 'recent_sum': 33, 'older_sum': 43, 'growth_rate': 0.7674418604651163, 'final_score': 134.32558139534885, 'rank': 78}
Rank 79: {'대카테고리': '홈인테리어', '중카테고리': 'F/W 침구샵', '소카테고리': '카페트/쿠션', '세부카테고리': '쿠션', 'total': 278, 'recent_sum': 120, 'older_sum': 158, 'growth_rate': 0.759493670886076, 'final_score': 489.13924050632914, 'rank': 79}
Rank 80: {'대카테고리': '홈인테리어', '중카테고리': '욕실용품', '소카테고리': '욕실보수용품', '세부카테고리': '욕실보수/부속품', 'total': 21, 'recent_sum': 9, 'older_sum': 12, 'growth_rate': 0.75, 'final_score': 36.75, 'rank': 80}
Rank 81: {'대카테고리': '완구/취미', '중카테고리': '피규어/다이캐스트', '소카테고리': '', '세부카테고리': None, 'total': 344, 'recent_sum': 147, 'older_sum': 197, 'growth_rate': 0.7461928934010152, 'final_score': 600.6903553299492, 'rank': 81}
Rank 82: {'대카테고리': '헬스/건강식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '건강식품', '세부카테고리': '비타민/미네랄', 'total': 340, 'recent_sum': 145, 'older_sum': 195, 'growth_rate': 0.7435897435897436, 'final_score': 592.8205128205128, 'rank': 82}
Rank 83: {'대카테고리': '주방용품', '중카테고리': '주방가전', '소카테고리': '전기밥솥', '세부카테고리': '가정용', 'total': 47, 'recent_sum': 20, 'older_sum': 27, 'growth_rate': 0.7407407407407407, 'final_score': 81.81481481481481, 'rank': 83}
Rank 84: {'대카테고리': '생활용품', '중카테고리': '탈취/방향/살충', '소카테고리': '방향제', '세부카테고리': '실내용방향제', 'total': 125, 'recent_sum': 53, 'older_sum': 72, 'growth_rate': 0.7361111111111112, 'final_score': 217.01388888888889, 'rank': 84}
Rank 85: {'대카테고리': '출산/유아동', '중카테고리': '이유용품/유아식기', '소카테고리': '이유식용품', '세부카테고리': '이유식스푼', 'total': 118, 'recent_sum': 50, 'older_sum': 68, 'growth_rate': 0.7352941176470589, 'final_score': 204.76470588235296, 'rank': 85}
Rank 86: {'대카테고리': '식품', '중카테고리': '과자/초콜릿/시리얼', '소카테고리': '베이커리/잼', '세부카테고리': '잼/꿀/시럽', 'total': 478, 'recent_sum': 202, 'older_sum': 276, 'growth_rate': 0.7318840579710145, 'final_score': 827.840579710145, 'rank': 86}
Rank 87: {'대카테고리': '식품', '중카테고리': '선물세트관', '소카테고리': '건강', '세부카테고리': '비타민/영양제', 'total': 323, 'recent_sum': 135, 'older_sum': 188, 'growth_rate': 0.7180851063829787, 'final_score': 554.9414893617021, 'rank': 87}
Rank 88: {'대카테고리': '뷰티', '중카테고리': '헤어', '소카테고리': '헤어에센스/오일', '세부카테고리': '헤어미스트', 'total': 48, 'recent_sum': 20, 'older_sum': 28, 'growth_rate': 0.7142857142857143, 'final_score': 82.28571428571429, 'rank': 88}
Rank 89: {'대카테고리': '가전디지털', '중카테고리': '음향기기', '소카테고리': '음향 액세서리', '세부카테고리': '이어폰케이스/거치대', 'total': 2475, 'recent_sum': 1028, 'older_sum': 1447, 'growth_rate': 0.710435383552177, 'final_score': 4233.3275742916385, 'rank': 89}
Rank 90: {'대카테고리': '가전디지털', '중카테고리': '주방가전', '소카테고리': '전기밥솥', '세부카테고리': '가정용', 'total': 46, 'recent_sum': 19, 'older_sum': 27, 'growth_rate': 0.7037037037037037, 'final_score': 78.37037037037037, 'rank': 90}
Rank 91: {'대카테고리': '주방용품', '중카테고리': '일회용품/종이컵', '소카테고리': '랩/호일/유산지', '세부카테고리': '유산지', 'total': 109, 'recent_sum': 45, 'older_sum': 64, 'growth_rate': 0.703125, 'final_score': 185.640625, 'rank': 91}
Rank 92: {'대카테고리': '반려동물용품', '중카테고리': '고양이 용품', '소카테고리': '급식기/급수기', '세부카테고리': '식기', 'total': 238, 'recent_sum': 98, 'older_sum': 140, 'growth_rate': 0.7, 'final_score': 404.59999999999997, 'rank': 92}
Rank 93: {'대카테고리': '주방용품', '중카테고리': '밀폐저장/도시락', '소카테고리': '특수저장용기', '세부카테고리': '얼음틀/마늘용기', 'total': 90, 'recent_sum': 37, 'older_sum': 53, 'growth_rate': 0.6981132075471698, 'final_score': 152.83018867924528, 'rank': 93}
Rank 94: {'대카테고리': '완구/취미', '중카테고리': 'DIY', '소카테고리': '구슬/비즈DIY', '세부카테고리': '구슬/비즈DIY키트', 'total': 679, 'recent_sum': 279, 'older_sum': 400, 'growth_rate': 0.6975, 'final_score': 1152.6025, 'rank': 94}
Rank 95: {'대카테고리': '출산/유아동', '중카테고리': '이유용품/유아식기', '소카테고리': '스푼/포크/젓가락', '세부카테고리': '이유식스푼', 'total': 123, 'recent_sum': 50, 'older_sum': 73, 'growth_rate': 0.684931506849315, 'final_score': 207.24657534246577, 'rank': 95}
Rank 96: {'대카테고리': '홈인테리어', '중카테고리': '수납/정리', '소카테고리': '기타정리용품', '세부카테고리': '후크/기타걸이', 'total': 219, 'recent_sum': 89, 'older_sum': 130, 'growth_rate': 0.6846153846153846, 'final_score': 368.9307692307692, 'rank': 96}
Rank 97: {'대카테고리': '생활용품', '중카테고리': '생활잡화', '소카테고리': '장바구니/카트', '세부카테고리': '핸드카트/쇼핑카트', 'total': 37, 'recent_sum': 15, 'older_sum': 22, 'growth_rate': 0.6818181818181818, 'final_score': 62.22727272727272, 'rank': 97}
Rank 98: {'대카테고리': '스포츠/레저', '중카테고리': '구기스포츠', '소카테고리': '축구', '세부카테고리': '축구장갑/골키퍼장갑', 'total': 55, 'recent_sum': 22, 'older_sum': 33, 'growth_rate': 0.6666666666666666, 'final_score': 91.66666666666666, 'rank': 98}
Rank 99: {'대카테고리': '생활용품', '중카테고리': '공구/철물/DIY', '소카테고리': '페인트/도구', '세부카테고리': '페인트/락카', 'total': 474, 'recent_sum': 189, 'older_sum': 285, 'growth_rate': 0.6631578947368421, 'final_score': 788.336842105263, 'rank': 99}
Rank 100: {'대카테고리': '홈인테리어', '중카테고리': '공구/철물/DIY', '소카테고리': '페인트/도구', '세부카테고리': '페인트/락카', 'total': 474, 'recent_sum': 189, 'older_sum': 285, 'growth_rate': 0.6631578947368421, 'final_score': 788.336842105263, 'rank': 100}
